エリア,利用用途,店名,ジャンル特徴,予算(口コミ相場),アクセス備考,GoogleマップURL,食べログURL
"新橋駅前ビル(東口)","③2軒目 (特化・遊)","和酒Pub庫裏","日本酒バー・立ち飲み","1,000円〜3,000円","新橋駅前ビル1号館B1F","https://www.google.com/maps/search/?api=1&query=和酒Pub庫裏+新橋","https://tabelog.com/tokyo/A1301/A130103/rstLst/?vs=1&sa=新橋&sk=庫裏"
"烏森口・西口通り","①1軒目 (食事)","魚金 本店","豊洲直送の鮮魚・盛り豪快な海鮮居酒屋","4,000円〜5,000円","烏森口(西口)より徒歩1分","https://www.google.com/maps/search/?api=1&query=魚金+本店+新橋","https://tabelog.com/tokyo/A1301/A130103/rstLst/?vs=1&sa=新橋&sk=魚金+本店"
"SL広場・日比谷口","①1軒目 (食事)","とりいちず 新橋SL広場店","コスパ抜群の大衆居酒屋・鶏料理","2,000円〜3,000円","SL広場(烏森口)より徒歩1分","https://www.google.com/maps/search/?api=1&query=とりいちず+新橋SL広場店","https://tabelog.com/tokyo/A1301/A130103/rstLst/?vs=1&sa=新橋&sk=とりいちず"
"烏森口・西口通り","①1軒目 (食事)","伝串 新時代 新橋店","こだわり串焼きと日本酒の居酒屋","3,000円〜4,000円","烏森口周辺","https://www.google.com/maps/search/?api=1&query=伝串+新時代+新橋店","https://tabelog.com/tokyo/A1301/A130103/rstLst/?vs=1&sa=新橋&sk=伝串+新時代"
"新橋駅前ビル(東口)","①1軒目 (食事)","さつま料理 かご","鹿児島の郷土料理・黒豚しゃぶしゃぶ","4,000円〜5,000円","新橋駅前ビル周辺","https://www.google.com/maps/search/?api=1&query=さつま料理+かご+新橋","https://tabelog.com/tokyo/A1301/A130103/rstLst/?vs=1&sa=新橋&sk=さつま料理+かご"
"SL広場・日比谷口","②2軒目 (定番Bar)","Bar P.M.9","鮨屋の女将が手がける本格オーセンティックバー","6,000円〜7,999円","新橋駅より徒歩3分","https://www.google.com/maps/search/?api=1&query=Bar+P.M.9+新橋","https://tabelog.com/tokyo/A1301/A130103/rstLst/?vs=1&sa=新橋&sk=P.M.9"
"烏森口・西口通り","②2軒目 (定番Bar)","Bar エスト","駅前の喧騒を離れた地下のオーセンティックバー","4,000円〜6,000円","烏森口より徒歩1分","https://www.google.com/maps/search/?api=1&query=Bar+エスト+新橋","https://tabelog.com/tokyo/A1301/A130103/rstLst/?vs=1&sa=新橋&sk=エスト"
"銀座口・汐留口","②2軒目 (定番Bar)","Bar Entrust","国産ウイスキー80種・くつろげる第3の居場所","4,000円〜6,000円","銀座口周辺","https://www.google.com/maps/search/?api=1&query=Bar+Entrust+新橋","https://tabelog.com/tokyo/A1301/A130103/rstLst/?vs=1&sa=新橋&sk=Entrust"
"銀座口・汐留口","③2軒目 (特化・遊)","東京立ち飲みバル","常時40種以上のワイン・ハッピーアワーあり","2,000円〜3,000円","新橋駅より徒歩2分","https://www.google.com/maps/search/?api=1&query=東京立ち飲みバル+新橋","https://tabelog.com/tokyo/A1301/A130103/rstLst/?vs=1&sa=新橋&sk=東京立ち飲みバル"
"新橋駅前ビル(東口)","③2軒目 (特化・遊)","BAGUS GOLKA","ラグジュアリーな個室完備のダーツバー","3,000円〜5,000円","新橋駅より徒歩6分","https://www.google.com/maps/search/?api=1&query=BAGUS+GOLKA+新橋","https://tabelog.com/tokyo/A1301/A130103/rstLst/?vs=1&sa=新橋&sk=BAGUS+GOLKA"
"烏森口・西口通り","③2軒目 (特化・遊)","スタンドバイミー","フレンチ出身シェフの立ち飲み・250円均一おつまみ","1,500円〜2,500円","烏森神社周辺","https://www.google.com/maps/search/?api=1&query=スタンドバイミー+新橋","https://tabelog.com/tokyo/A1301/A130103/rstLst/?vs=1&sa=新橋&sk=スタンドバイミー"
"烏森口・西口通り","①1軒目 (食事)","もつ焼き カミヤ","人形町本店の人気もつ焼き・行列必至","2,000円〜3,000円","烏森口より徒歩2分","https://www.google.com/maps/search/?api=1&query=もつ焼き+カミヤ+新橋","https://tabelog.com/tokyo/A1301/A130103/rstLst/?vs=1&sa=新橋&sk=もつ焼き+カミヤ"
"SL広場・日比谷口","①1軒目 (食事)","三政","昭和37年創業・焼きとんの老舗","3,500円〜4,500円","新橋駅周辺","https://www.google.com/maps/search/?api=1&query=三政+新橋","https://tabelog.com/tokyo/A1301/A130103/rstLst/?vs=1&sa=新橋&sk=三政"
"SL広場・日比谷口","①1軒目 (食事)","24時間 餃子酒場 新橋本店","24時間営業・手作り餃子と飲み放題","2,000円〜3,000円","日比谷口より徒歩1分","https://www.google.com/maps/search/?api=1&query=餃子酒場+新橋本店","https://tabelog.com/tokyo/A1301/A130103/rstLst/?vs=1&sa=新橋&sk=餃子酒場+新橋本店"
"新橋駅前ビル(東口)","①1軒目 (食事)","大餃子酒場 新橋店","特大手作り餃子・ニュー新橋ビル内","4,000円〜4,999円","新橋駅前ビル(ニュー新橋ビル)より徒歩1分","https://www.google.com/maps/search/?api=1&query=大餃子酒場+新橋店","https://tabelog.com/tokyo/A1301/A130103/rstLst/?vs=1&sa=新橋&sk=大餃子酒場"
"銀座口・汐留口","②2軒目 (定番Bar)","HIGHBALL BAR 新橋1923","5連タワー式ハイボール専門バー","3,000円〜4,000円","新橋駅周辺","https://www.google.com/maps/search/?api=1&query=HIGHBALL+BAR+新橋1923","https://tabelog.com/tokyo/A1301/A130103/rstLst/?vs=1&sa=新橋&sk=新橋1923"
"烏森口・西口通り","②2軒目 (定番Bar)","燻製×ハイボールバル 燻男 新橋店","ウイスキー60種と燻製料理が自慢","3,000円〜4,000円","新橋駅周辺","https://www.google.com/maps/search/?api=1&query=燻男+新橋店","https://tabelog.com/tokyo/A1301/A130103/rstLst/?vs=1&sa=新橋&sk=燻男"
"SL広場・日比谷口","②2軒目 (定番Bar)","燻製 ハイボール ニューイブシオ 新橋","珍しい燻製料理とハイボールが充実","3,000円〜4,000円","新橋駅周辺","https://www.google.com/maps/search/?api=1&query=ニューイブシオ+新橋","https://tabelog.com/tokyo/A1301/A130103/rstLst/?vs=1&sa=新橋&sk=ニューイブシオ"
"新橋駅前ビル(東口)","③2軒目 (特化・遊)","クラフトビアバル IBREW 新橋駅前店","樽生クラフトビール30種・飲み放題あり","3,000円〜4,000円","新橋駅前ビル飲食店街内","https://www.google.com/maps/search/?api=1&query=クラフトビアバル+IBREW+新橋駅前店","https://tabelog.com/tokyo/A1301/A130103/rstLst/?vs=1&sa=新橋&sk=IBREW"
"銀座口・汐留口","③2軒目 (特化・遊)","Side-B Bar","テキーラ＆メスカル専門バー","4,000円〜6,000円","新橋駅周辺","https://www.google.com/maps/search/?api=1&query=Side-B+Bar+新橋","https://tabelog.com/tokyo/A1301/A130103/rstLst/?vs=1&sa=新橋&sk=Side-B"
"銀座口・汐留口","③2軒目 (特化・遊)","ラムと泡","子羊チョップとテーブルサイドスパークリング","4,000円〜6,000円","新橋駅周辺","https://www.google.com/maps/search/?api=1&query=ラムと泡+新橋","https://tabelog.com/tokyo/A1301/A130103/rstLst/?vs=1&sa=新橋&sk=ラムと泡"
"烏森口・西口通り","①1軒目 (食事)","烏森しみず","宮崎地鶏じとっこ×上州豚の炭火串焼き専門店","4,000円〜4,999円","烏森口より徒歩1分","https://www.google.com/maps/search/?api=1&query=烏森しみず+新橋","https://tabelog.com/tokyo/A1301/A130103/rstLst/?vs=1&sa=新橋&sk=烏森しみず"
"烏森口・西口通り","①1軒目 (食事)","野焼本店","昭和51年創業・炭火焼ホルモンの老舗","3,000円〜4,000円","烏森口より徒歩5分","https://www.google.com/maps/search/?api=1&query=野焼本店+新橋","https://tabelog.com/tokyo/A1301/A130103/rstLst/?vs=1&sa=新橋&sk=野焼本店"
"烏森口・西口通り","①1軒目 (食事)","牡蠣海鮮料理 かき家こだはる 新橋店","全国の生牡蠣を仕入れる牡蠣専門海鮮居酒屋","5,000円〜6,000円","烏森口より徒歩4分","https://www.google.com/maps/search/?api=1&query=かき家こだはる+新橋店","https://tabelog.com/tokyo/A1301/A130103/rstLst/?vs=1&sa=新橋&sk=こだはる"
"烏森口・西口通り","②2軒目 (定番Bar)","Bar Caelum","高級感とテラス席が魅力のオーセンティックバー・シガーも充実","5,000円〜7,000円","烏森口より徒歩3分","https://www.google.com/maps/search/?api=1&query=Bar+Caelum+新橋","https://tabelog.com/tokyo/A1301/A130103/rstLst/?vs=1&sa=新橋&sk=Caelum"
"烏森口・西口通り","③2軒目 (特化・遊)","今夜もワイン","世界100種以上のワインが揃うテラス付きワイン食堂","4,000円〜4,999円","烏森口より徒歩5分","https://www.google.com/maps/search/?api=1&query=今夜もワイン+新橋","https://tabelog.com/tokyo/A1301/A130103/rstLst/?vs=1&sa=新橋&sk=今夜もワイン"
"銀座口・汐留口","②2軒目 (定番Bar)","Bar 舶来 Mixology Station","和素材×ミクソロジーの創作カクテル19種","5,000円〜7,000円","汐留駅より徒歩4分","https://www.google.com/maps/search/?api=1&query=Bar+舶来+Mixology+Station+新橋","https://tabelog.com/tokyo/A1301/A130103/rstLst/?vs=1&sa=新橋&sk=舶来"
"銀座口・汐留口","②2軒目 (定番Bar)","LITTLE SMITH","1993年創業・馬蹄形カウンターの名門オーセンティックバー","6,000円〜7,999円","銀座口より徒歩5分","https://www.google.com/maps/search/?api=1&query=LITTLE+SMITH+銀座+新橋","https://tabelog.com/tokyo/A1301/A130103/rstLst/?vs=1&sa=新橋&sk=LITTLE+SMITH"
"銀座口・汐留口","③2軒目 (特化・遊)","ダーツ&カラオケバー ZINO 新橋店","カラオケ・ダーツ・ゲームが遊び放題のエンタメバー","2,000円〜3,000円","新橋駅より徒歩2分","https://www.google.com/maps/search/?api=1&query=ZINO+新橋店","https://tabelog.com/tokyo/A1301/A130103/rstLst/?vs=1&sa=新橋&sk=ZINO"
"新橋駅前ビル(東口)","①1軒目 (食事)","立ち呑み 破天荒","大島直送の新鮮な海鮮と刺身盛りが人気の立ち飲み","1,000円〜2,000円","ニュー新橋ビルB1F・新橋駅より徒歩1分","https://www.google.com/maps/search/?api=1&query=立ち呑み+破天荒+新橋","https://tabelog.com/tokyo/A1301/A130103/rstLst/?vs=1&sa=新橋&sk=破天荒"
"SL広場・日比谷口","①1軒目 (食事)","新橋SL酒場","下関直送の刺身と鉄板焼き・掘りごたつ座敷完備の大型居酒屋","2,000円〜3,000円","日比谷口より徒歩1分","https://www.google.com/maps/search/?api=1&query=新橋SL酒場","https://tabelog.com/tokyo/A1301/A130103/rstLst/?vs=1&sa=新橋&sk=SL酒場"
